identifier_client,quantity,book_price,portfolio_name,position_date,curve_name
US84346LAA89,1163000.0,82.76,USIG01,2025-05-20,USD_SWAP
US195869AQ57,1125000.0,74.92,USIG01,2025-05-20,USD_SWAP
US960413AU67,739000.0,76.83,USIG01,2025-05-20,USD_SWAP
US959802AM19,525000.0,97.07,USIG01,2025-05-20,USD_SWAP
US69369EAB56,435000.0,101.55,USIG01,2025-05-20,USD_SWAP
US31428XBG07,1388000.0,79.4,USIG01,2025-05-20,USD_SWAP
US070101AH36,455000.0,82.15,USIG01,2025-05-20,USD_SWAP
US29246QAB14,597000.0,85.72,USIG01,2025-05-20,USD_SWAP
US842400GK35,2015000.0,73.56,USIG01,2025-05-20,USD_SWAP
US682680BW29,385000.0,74.16,USIG01,2025-05-20,USD_SWAP
US86765BAM19,574000.0,83.83,USIG01,2025-05-20,USD_SWAP
US72650RBA95,897000.0,86.12,USIG01,2025-05-20,USD_SWAP
US126650CN80,5168000.0,87.01,USIG01,2025-05-20,USD_SWAP
US260543CL56,805000.0,80.03,USIG01,2025-05-20,USD_SWAP
US637417AM83,502000.0,83.41,USIG01,2025-05-20,USD_SWAP
US31620MAZ95,477000.0,82.58,USIG01,2025-05-20,USD_SWAP
US96949LAE56,1301000.0,84.36,USIG01,2025-05-20,USD_SWAP
US276480AB69,501000.0,69.85,USIG01,2025-05-20,USD_SWAP
US12527GAE35,1140000.0,89.91,USIG01,2025-05-20,USD_SWAP
US534187BG38,447000.0,77.0,USIG01,2025-05-20,USD_SWAP
US28370TAD19,646000.0,112.72,USIG01,2025-05-20,USD_SWAP
US29273RAP47,1102000.0,96.49,USIG01,2025-05-20,USD_SWAP
US867224AB33,1265000.0,71.55,USIG01,2025-05-20,USD_SWAP
US95765PAA75,575000.0,88.92,USIG01,2025-05-20,USD_SWAP
US23330JAC53,700000.0,82.17,USIG01,2025-05-20,USD_SWAP
US853254AK68,1443000.0,88.44,USIG01,2025-05-20,USD_SWAP
US92857WBS89,3152000.0,84.96,USIG01,2025-05-20,USD_SWAP
US054561AM77,1682000.0,86.42,USIG01,2025-05-20,USD_SWAP
US718546AL86,2566000.0,83.63,USIG01,2025-05-20,USD_SWAP
US87971MBK80,835000.0,76.14,USIG01,2025-05-20,USD_SWAP
US677050AN64,749000.0,87.36,USIG01,2025-05-20,USD_SWAP
US31428XBQ88,1288000.0,72.37,USIG01,2025-05-20,USD_SWAP
US037735CX37,622000.0,79.53,USIG01,2025-05-20,USD_SWAP
US39541EAC75,1290000.0,102.86,USIG01,2025-05-20,USD_SWAP
US637071AK74,1819000.0,71.55,USIG01,2025-05-20,USD_SWAP
US89834JAA16,1115000.0,99.24,USIG01,2025-05-20,USD_SWAP
US28249NAB73,1185000.0,77.24,USIG01,2025-05-20,USD_SWAP
US98971DAC48,180000.0,98.24,USIG01,2025-05-20,USD_SWAP
US458140BG44,2824000.0,67.74,USIG01,2025-05-20,USD_SWAP
US00188LAB36,360000.0,95.32,USIG01,2025-05-20,USD_SWAP
US09062XAD57,1684000.0,88.37,USIG01,2025-05-20,USD_SWAP
US92857WBM10,1601000.0,90.35,USIG01,2025-05-20,USD_SWAP
US31428XAW65,699000.0,86.46,USIG01,2025-05-20,USD_SWAP
US775109BN09,1823000.0,76.67,USIG01,2025-05-20,USD_SWAP
US42809HAH03,897000.0,98.2,USIG01,2025-05-20,USD_SWAP
US15103JAA07,115895.0,89.25,USIG01,2025-05-20,USD_SWAP
US718547AM43,765000.0,81.18,USIG01,2025-05-20,USD_SWAP
US92277GAQ01,411000.0,85.15,USIG01,2025-05-20,USD_SWAP
US501044DM06,956000.0,92.97,USIG01,2025-05-20,USD_SWAP
US53944YAE32,2004000.0,76.84,USIG01,2025-05-20,USD_SWAP
